Index,Composition,Phases present,Hardness (HVN),IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
0,Al0.2Co1.5CrFeNi1.5Ti0.55Si0.1,FCC+IM,520,1,0,0.034,0,0,0,0.256,0.171,0,0.171,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0.017,0,0,0.094,0,0,0,0,0
1,Al0.2Co1.5CrFeNi1.5Ti0.65Si0.3,FCC+IM,640,1,0,0.033,0,0,0,0.244,0.163,0,0.163,0,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0.049,0,0,0.106,0,0,0,0,0
2,Al0.2Co1.5CrFeNi1.5Ti0.75Si0.5,FCC+IM,770,1,0,0.031,0,0,0,0.233,0.155,0,0.155,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0.078,0,0,0.116,0,0,0,0,0
3,CoFeNi,FCC,125,0,0,0,0,0,0,0.333,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0
4,CoFeNiSi0.25,FCC,149,0,0,0,0,0,0,0.308,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0.077,0,0,0,0,0,0,0,0
5,CoFeNiSi0.5,FCC+IM,287,1,0,0,0,0,0,0.286,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0.143,0,0,0,0,0,0,0,0
6,CoFeNiSi0.75,FCC+IM,570,1,0,0,a,0,0,0.267,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0.2,0,0,0,0,0,0,0,0
7,Al0.25CoFeNi,FCC,138,0,0,0.077,0,0,0,0.308,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0
8,Al0.5CoFeNi,FCC + BCC,212,0,0,0.143,0,0,0,0.286,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0
9,Al0.75CoFeNi,FCC + BCC,385,0,0,0.2,0,0,0,0.267,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0,0
10,CoCrFeNiTi,FCC,,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0
