Hardness (HVN),IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
520,1,0,0.034,0,0,0,0.256,0.171,0,0.171,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0.017,0,0,0.094,0,0,0,0,0
640,1,0,0.033,0,0,0,0.244,0.163,0,0.163,0,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0.049,0,0,0.106,0,0,0,0,0
770,1,0,0.031,0,0,0,0.233,0.155,0,0.155,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0.078,0,0,0.116,0,0,0,0,0
125,0,0,0,0,0,0,0.333,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0.308,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0.077,0,0,0,0,0,0,0,0
287,1,0,0,0,0,0,0.286,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0.143,0,0,0,0,0,0,0,0
570,1,0,0,0,0,0,0.267,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0.2,0,0,0,0,0,0,0,0
138,0,0,0.077,0,0,0,0.308,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0.143,0,0,0,0.286,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0
385,0,0,0.2,0,0,0,0.267,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0,0
624,1,0,0.175,0,0,0,0.075,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
569,0,0,0.196,0,0,0,0.196,0.196,0,0.196,0,0,0,0,0,0,0,0,0.02,0,0.196,0,0,0,0,0,0,0,0,0,0,0,0
668,1,0,0.19,0,0,0,0.19,0.19,0,0.19,0,0,0,0,0,0,0,0,0.048,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0
747,1,0,0.182,0,0,0,0.182,0.182,0,0.182,0,0,0,0,0,0,0,0,0.091,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0.182,0,0,0,0.182,0.182,0,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
643,0,0,0.286,0,0,0,0.143,0.143,0,0.143,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0.143,0,0,0,0,0
144,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0.19,0.19,0,0.19,0,0,0,0,0,0.19,0,0,0,0,0.19,0,0,0,0,0,0,0,0.048,0,0,0,0
186,0,0,0,0,0,0,0.182,0.182,0,0.182,0,0,0,0,0,0.182,0,0,0,0,0.182,0,0,0,0,0,0,0,0.091,0,0,0,0
342,1,0,0,0,0,0,0.174,0.174,0,0.174,0,0,0,0,0,0.174,0,0,0,0,0.174,0,0,0,0,0,0,0,0.13,0,0,0,0
650,1,0,0,0,0,0,0.167,0.167,0,0.167,0,0,0,0,0,0.167,0,0,0,0,0.167,0,0,0,0,0,0,0,0.167,0,0,0,0
472,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
549,0,0,0.238,0,0,0,0,0.238,0,0.238,0,0,0,0,0,0,0.048,0,0,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0
622,0,0,0.222,0,0,0,0,0.222,0,0.222,0,0,0,0,0,0,0.111,0,0,0,0.222,0,0,0,0,0,0,0,0,0,0,0,0
854,1,0,0.208,0,0,0,0,0.208,0,0.208,0,0,0,0,0,0,0.167,0,0,0,0.208,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0.091,0,0,0,0.182,0.182,0.182,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
406,0,0,0.167,0,0,0,0.167,0.167,0.167,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0
560,0,0,0.286,0,0,0,0.143,0.143,0.143,0.143,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0
456,0,0,0.25,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
516,0,0,0.225,0,0,0,0,0,0.2,0.15,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.225,0,0,0,0,0
516,0,0,0.225,0,0,0,0,0,0.2,0.15,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.225,0,0,0,0,0
516,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0
537,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0
500,0,0,0.08,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2
353,0,0,0.057,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0.189,0.189,0,0,0,0,0.189
396,0,0,0.091,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0.182,0.182,0,0,0,0,0.182
427,0,0,0.13,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0,0,0.174,0,0,0,0,0,0,0,0.174,0.174,0,0,0,0,0.174
591,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0.2
460,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0,0.235,0,0,0,0,0,0,0,0,0.235,0.235,0,0,0,0
487,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0,0.222,0,0,0,0,0,0,0,0,0.222,0.222,0,0,0,0
517,0,0,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0,0.211,0,0,0,0,0,0,0,0,0.211,0.211,0,0,0,0
537,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0
500,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.16,0.28,0.04,0,0,0,0.26
530,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.16,0.3,0.04,0,0,0,0.2
490,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.28,0,0,0,0,0.26
408,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.1,0.3,0,0,0,0,0.1
448,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0
464,1,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2
540,1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0.2
482,1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2
418,1,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25
400,1,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25
442,1,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0.122,0,0.244,0,0,0,0,0,0.024,0,0,0.244,0,0,0,0,0.244
494,1,0,0,0,0,0,0,0,0,0,0,0,0.116,0,0,0,0.116,0,0.233,0,0,0,0,0,0.07,0,0,0.233,0,0,0,0,0.233
524,1,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0.111,0,0.222,0,0,0,0,0,0.111,0,0,0.222,0,0,0,0,0.222
580,1,0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0,0.106,0,0.213,0,0,0,0,0,0.149,0,0,0.213,0,0,0,0,0.213
640,1,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,0,0.102,0,0.204,0,0,0,0,0,0.184,0,0,0.204,0,0,0,0,0.204
395,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0.048,0,0.19,0,0,0,0,0,0,0,0.19,0.19,0,0,0,0,0.19
480,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0.091,0,0.182,0,0,0,0,0,0,0,0.182,0.182,0,0,0,0,0.182
492,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0.13,0,0.174,0,0,0,0,0,0,0,0.174,0.174,0,0,0,0,0.174
